ID,Subset,Question,Translated Question,Options,Translated Options,Label,Category,Image Type,Image Source,License,image_path,tag
5879880098657959150_1,"('Bengali', 'India')",এই বিখ্যাত ব্যক্তিত্বের আসল নাম কি?,What is the original name of this famous personality ?,"['অরুণ কুমার চট্টোপাধ্যায়' 'আভাস কুমার গাঙ্গুলী' 'সুমন চট্টোপাধ্যায়'
 'প্রবোধ চন্দ্র দে']","['Arun Kumar Chattopadhyay' 'Abhas Kumar Ganguly' 'Suman Chattopadhyay '
 'Prabodh Chandra Dey']",-1,Public Figure and pop culture,External,https://upload.wikimedia.org/wikipedia/commons/7/79/Manna-dey.jpg,CC BY 2.0,image_388.jpg,"beret, cup, hat, instrument, man, microphone, sing, wear"
5865925794271932162_0,"('Romanian', 'Romania')",În ce oraș este făcută poza?,In which city is the picture taken?,['Sighișoara' 'Brașov' 'Cluj-Napoca' 'Sibiu'],['Sighisoara' 'Brasov' 'Cluj-Napoca' 'Sibiu'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_391.jpg,"bell tower, building, christmas tree, church, city square, person, market square, mill, plaza, tower, sky, spire, square, stand, town, town square, walk"
5865925784279281645_1,"('Romanian', 'Romania')",Sub conducerea cui a fost făcută această clădire?,Under what leadership was this building made?,['Klaus Iohannis' 'Ion Iliescu' 'Mihai Viteazu' 'Nicolae Ceaușescu'],['Klaus Iohannis' 'Ion Iliescu' 'Mihai Viteazu' 'Nicolae Ceaușescu'],-1,Geography / buildings / landmarks,External,https://upload.wikimedia.org/wikipedia/commons/f/f0/Bucure%C5%9Fti_The_Presidential_Palace._May_1996_%283993876724%29.jpg,CC BY-SA 2.0,image_396.jpg,"building, car, city street, drive, fill, hotel, palace, park, road, street scene"
5865910664272109734_0,"('Chinese', 'China')",这是什么植物？,What plant is this?,['月季花' '金花茶' '喇叭花' '牵牛花'],['Rose flower' 'Golden camellia tea' 'Morning glory' 'Morning glory'],-1,Plants and animal,External,https://www.flickr.com/photos/nhq9801/9216112014/in/photolist-f3oZ21-4eWUEj,Attribution-NonCommercial-ShareAlike License,image_397.jpg,"bloom, bud, flower, grow, plant, tree, yellow"
5865925794275294220_2,"('Romanian', 'Romania')",Ce proces de gătire se folosește pentru a pregăti vegetala din acest aperitiv?,How is the vegetable cooked to make this spread?,['Coacere' 'Ardere' 'Fierbere' 'Inghețare'],['Frying' 'Burning' 'Boiling' 'Freezing'],-1,Cooking and food,External,https://upload.wikimedia.org/wikipedia/commons/d/db/Salat%C4%83_de_vinete.jpg,CC BY-SA 4.0,image_411.jpg,"bean, blue, cherry tomato, dip, plate, food, hummus, oatmeal, olive, onion, peak, pepper, platter, rice, tomato, topping"
5865910664272888749_0,"('Chinese', 'China')",这是什么动物？,What animal is this?,['藏野驴' '羚羊' '马' '鹿'],['Tibetan wild ass' 'Antelope' 'Horse' 'Deer'],-1,Plants and animal,External,https://www.flickr.com/photos/peripateticpurlieu/53091535859/in/photolist-2oStK89-2oSsEHo-2oSscfp-2oTxzyi-2oTvZVV-2oTxcUt,Attribution-NoDerivs License,image_413.jpg,"animal, brown, pony, dirt field, donkey, field, floor, horse, grass, grassy, green, lush, mule, open, patch, plain, stand, walk"
5865687714279195397_1,"('Bengali', 'India')",এই খিলান-সৌধ কোথায় অবস্থিত?,Where is this arch-monument located ?,['কোচবিহার' 'শিলিগুড়ি' 'মালদা' 'কলকাতা'],['Cooch Behar' 'Siliguri' 'malda' 'Kolkata'],-1,Geography / buildings / landmarks,External,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Biswa_Bangla_Gate_01.jpg/640px-Biswa_Bangla_Gate_01.jpg,CC BY-SA 4.0,image_417.jpg,"amusement park, architect, building, design, motorbike, motorcycle, rain, scooter, structure"
5865687724276552869_1,"('Bengali', 'India')",এই গাড়িতে সাধারণত কতজন বসতে পারে?,How many can typically sit in this vehicle?,['২' '৪' '১' '৩'],['2' '4' '1' '3'],-1,Vehicles and Transportation,Self,Self-open,CC BY-SA,image_434.jpg,"attach, bicycle, building, coach, cart, couple, rickshaw, park, tricycle, umbrella"
5865925784271914592_2,"('Romanian', 'Romania')",În ce fel sunt scrise poveștile de pe pietrele funerare?,The stories on the headstones are written in what way?,['Supărat' 'Trist' 'Agitat' 'Umoristic'],['Angry' 'Sad' 'Agitated' 'Funny'],-1,Geography / buildings / landmarks,External,https://upload.wikimedia.org/wikipedia/commons/5/54/Cimitirul_Vesel_-_S%C4%83p%C3%A2n%C8%9Ba_-_detalii.JPG,CC BY-SA 4.0,image_437.jpg,"blue, graveyard, cross, decorate, grave, gravestone, mark, monument, plaque, shrine, sign, tomb, writing"
5865925804275165806_2,"('Romanian', 'Romania')",Cu ce este umplută mâncarea rotundă din imagine?,What is the round food in the picture filled with?,"['brânză și stafide' 'ciocolată și alune' 'stafide și alune'
 'cașcaval și usturoi']","['cheese and raisins' 'chocolate and hazelnuts' 'raisins and hazelnuts'
 'cheese and garlic']",-1,Cooking and food,Self,Self-open,CC BY-SA,image_447.jpg,"bread, cheese, counter top, couple, table, food, gas stove, home appliance, kitchen counter, kitchenware, napkin, oven, pastry, pie, quiche, sit, stove, tablecloth, tray"
5872177375341924825_2,"('Bengali', 'India')",বাংলা ক্যালেন্ডারের কোন মাসে এই উৎসব পালিত হয়?,In which month of the Bengali calender is this festval celebrated ?,['বৈশাখ' 'আষাঢ়' 'ভাদ্র' 'শ্রাবন'],"['Boisakh (First Month of Bengali Calender)'
 'Aashad (Third month of Bengali Calender)'
 'Bhadra (Fifth month of Bengali Calender)'
 'Shravan (Fourth Month of Bengali Calender)']",-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/d/d4/Rath_Yatra_in_Munich_2020%2C_the_siblings_Balarama%2C_Subhadra_and_Lord_Jagannath_20200725_160916.jpg,CC BY-SA 4.0,image_454.jpg,"celebration, ceremony, decorate, deity, display, face, festival, mask, temple, worship"
5865925794276982658_1,"('Romanian', 'Romania')",Din ce material sunt făcute obiectele din imagine?,What material are the objects in the picture made of?,['lemn' 'argint' 'metal' 'lut'],['wood' 'silver' 'metal' 'clay'],-1,Objects / materials / clothing,Self,Self-open,CC BY-SA,image_460.jpg,"ceramic, pottery, plate, display, fill, shelf, shelve, showcase"
5865925804277572514_1,"('Romanian', 'Romania')",Câte geamuri are clădirea?,How many windows does the building have?,['șase' 'patru' 'trei' 'cinci'],['six' 'four' 'three' 'five'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_465.jpg,"monastery, alley, building, church, courtyard, hillside, tower, tile roof, town, village"
5865925794278979337_1,"('Romanian', 'Romania')",În ce județ este făcută poza?,In which county is the picture taken?voronet ,"['București, România' 'Iași, România' 'Botoșani, România'
 'Suceava, România']","['Bucuresti, Romania' 'Iasi, Romania' 'Botosani, Romania'
 ' Suceava, Romania']",-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_469.jpg,"monastery, blanket, building, chapel, church, floor, snow, snowy, spire, winter, worship"
5865910664272399419_0,"('Chinese', 'China')",这是什么名胜古迹？,What place of interest is this?,['嵩山' '泰山' '武夷山' '峨眉山'],['Mount Song' 'Mount Tai' 'Wuyi Mountains' 'Mount Emei'],-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/davxp/10360672165/in/photolist-gMx9SH-3nxmo-gMxaQf-gMxbrJ-gMxapz-gMy9sk-gMx9EP-gMxb3i-gMxcsb-gMxaVq-gMy8PB-gMxaVe-gMxajV-gMx9yM-gMy9dn-gMxcm9-gMxaLL-gMxayS-3nxdw-gMxaGD-gMxadH-gMxbmy-gMxaKe-gMxbrA-gMx9oM-3adRY6-gMy8UX-gMxauo-gMxbmV-gMxbs6-gMxcPf-gMxawD-gMx9YV-gMx9K8-gMxcaY-gMy8vR-GvRFi8-JCussd-PGTCQF-PGTDgR-JLvVkR-PGTE66-PDEzW9-2k1KM48-23987jW-PGTDeB-PGTC6K-Puau3o-Puauxm-PGTDLZ,Attribution-NonCommercial-NoDerivs License,image_480.jpg,"author, deity, footstall, person, palace, peak, place, plaza, sculpture, sky, statue, stupa, temple, worship"
5878705002119761083_2,"('Bengali', 'India')",এখানে কোন বিশ্ববিদ্যালয় অবস্থিত?,Which university is located here?,"['রবীন্দ্র ভারতী বিশ্ববিদ্যালয়' 'কলকাতা বিশ্ববিদ্যালয়'
 'যাদবপুর বিশ্ববিদ্যালয়' 'রাজাবাজার বিজ্ঞান কলেজ']","['Rabindra Bharati University' 'Calcutta University' 'Jadavpur University'
 'Rajabazar Science College']",-1,Geography / buildings / landmarks,External,https://upload.wikimedia.org/wikipedia/commons/0/06/Jorasanko_Thakur_Bari_-9.jpg,CC BY-SA 4.0,image_493.jpg,"building, hotel, lawn, lush, palace, pink, red"
5865925784277749313_1,"('Romanian', 'Romania')",Ce gen a scris personajul din imagine?,What genre did the person in the image write?,['Povești pentru copii' 'Poezie' 'Romane' 'Povești de groază'],['Fairy tales' 'Poetry' 'Novels' 'Horror stories'],-1,Public Figure and pop culture,External,https://upload.wikimedia.org/wikipedia/commons/d/dc/Eminescu.jpg,Public domain,image_494.jpg,"black, bow tie, cocktail dress, man, photo, portrait, suit, tie, wear, white"
5920593854279047535_2,"('Tamil', 'India')",இந்த கோவிலுடன் எந்த விண்ணுலகம் தொடர்புடையது?,Which celestial entity is associated with this temple?,['சந்திரன்' 'சூரியன்' 'வியாழன்' 'சனி'],['Moon' 'Sun' 'Jupiter' 'Saturn'],-1,Traditions / art / history,External,"https://commons.wikimedia.org/wiki/File:Artwork_of_Chariot_wheels_and_sculptures_in_Konark_Sun_temple,_Odisha_26.jpg",CC BY-SA 4.0,image_503.jpg,"ancient, wall, building, carve, chariot, pillar, rail, stone carving, temple, wagon wheel, wheel"
5865910664277576057_1,"('Chinese', 'China')",图中的菜是用什么食材制作的？,What ingredients are used to make the dishes in the picture?,['羊肉和馍' '面条' '鸡肉和馍' '牛肉和面条'],"['Lamb and steamed buns' 'Noodles' 'Chicken and steamed buns'
 'Beef and noodles']",-1,Cooking and food,Self,Self-research_only,CC BY-NC,image_504.jpg,"blue, bowl, broth, chopstick, table, plate, dumpling, fill, food, pea, potato, sauce, soup, soup bowl, stew"
5865687714272866154_1,"('Bengali', 'India')",ছবিতে কোন ধরনের বাদ্যযন্ত্র দেখানো হয়েছে?,What type of musical instrument is shown in the image?,['বায়ু যন্ত্র' 'ঝিল্লি যন্ত্র' 'তার যন্ত্র' 'বৈদ্যুতিক যন্ত্র'],"['Wind Instrument' 'Membrane Instrument' 'String Instrument'
 'Electric Instrument']",-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sitar%2C_late_19th_Century.jpg/640px-Sitar%2C_late_19th_Century.jpg,CC0,image_506.jpg,"flute, mouth organ, instrument, music, string"
5878673472114776698_1,"('Bengali', 'India')",এই ব্যক্তির ছদ্মনাম কি?,What is the pen name of this person ?,['ভানুসিংহ' 'অনিলা দেবী' 'কাব্যসম্রাট' 'কমলাকান্ত'],['Bhanu Singha' 'Anila Devi' 'kabyasamrat' 'Kamalakanta'],-1,Public Figure and pop culture,External,https://upload.wikimedia.org/wikipedia/commons/2/2c/Bankimchandra_Chattapadhay.jpg,Public domain,image_509.jpg,"headscarf, black, hat, head, person, man, photo, portrait, preacher, robe, wear, white"
5920593844277598170_1,"('Tamil', 'India')",சித்தரிக்கப்பட்டுள்ள உணவின் சுவை என்ன?,What is the flavor profile of the food depicted in the image?,['கார்ப்பு' 'கசப்பு' 'இனிப்பு' 'புளிப்பு'],['Sour' 'Bitter' 'Sweet' 'Spicy'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_522.jpg,"biscuit, bowl, chip, cloth, container, table, plate, fill, food, pink, snack, tablecloth"
5865687714273886805_1,"('Bengali', 'India')",ছবিতে দেখানো ব্যক্তিটি কোন সালে নোবেল পুরস্কার জিতেছিলেন?,"In which year, did the person in the image won a nobel prize?",['১৯১৫' '১৯১৬' '১৯১৪   ' '১৯১৩       '],['1915' '1916' '1914' '1913'],-1,Public Figure and pop culture,External,https://flic.kr/p/2ppX6M4,Attribution-NonCommercial-NoDerivs License,image_529.jpg,"beard, hand, hair, man, photo, robe, white"
5920593844274743996_2,"('Tamil', 'India')",இந்த பாரம்பரிய விளையாட்டின் பெயர் என்ன?,What is the name of this traditional sport?,['கில்லி-தண்டு/கிட்டிப்புள்' 'கபடி' 'ஜல்லிக்கட்டு' 'கோ கோ'],['Gilli Danda' 'Kabaddi' 'Jallikattu' 'Kho Kho'],-1,Sports and recreation,External,https://commons.wikimedia.org/wiki/File:Jallikattu_Game.jpg,CC BY-SA 4.0,image_532.jpg,"arena, bull, dirt field, dirt track, fall, floor, person, man, mud, play, shirt, wrestle"
5879915848653467764_1,"('Bengali', 'India')",ভারতের কোন বিখ্যাত প্রযুক্তি ও গবেষণা প্রতিষ্ঠান এই ব্যক্তি প্রতিষ্ঠা করেছিলেন?,Which renowned technical and research institution in India was founded by this person ?,"['ইন্ডিয়ান ইনস্টিটিউট অফ সায়েন্স, বেঙ্গালুরু'
 'ইন্ডিয়ান ইনস্টিটিউট অফ টেকনোলজি, খড়গপুর'
 'ভারতীয় পরিসংখ্যান ইনস্টিটিউট, কলকাতা'
 'ভারতীয় পরিসংখ্যান ইনস্টিটিউট, বেঙ্গালুরু']","['Indian Institute of Science, Bengaluru'
 'Indian Institute of Technology, Kharagpur'
 'indian statistical institute, kolkata'
 'indian statistical institute, bangalore']",-1,Public Figure and pop culture,External,https://upload.wikimedia.org/wikipedia/commons/a/a3/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A4_%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0_%E0%A4%AE%E0%A4%B9%E0%A4%B2%E0%A4%A8%E0%A5%8B%E0%A4%AC%E0%A4%BF%E0%A4%B8%E0%A5%8D.png,CC BY-SA 4.0,image_537.jpg,"business suit, clasp, cup, hand, jaw, man, photo, smile, suit, tie, wear"
5865687714276912787_0,"('Bengali', 'India')",ছবিতে দেখানো বাদ্যযন্ত্রটি কী?,What is the musical instrument shown in the image?,['সেতার' 'তবলা' 'ঢাক' 'ঢোল'],['Sitar' 'Tabla' 'Dhak' 'Dhol'],-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Prop._Tabla.jpg/640px-Prop._Tabla.jpg,CC BY-SA 3.0,image_545.jpg,"drum, eye, instrument, tool"
5865910664277319101_0,"('Chinese', 'China')",图中物体的用途是什么？,What is the usage of the object in this picture?,['刨木头' '织布' '刨冰' '制作陶瓷'],['Planing wood' 'Weaving' 'Ice shaving' 'Making ceramics'],-1,Objects / materials / clothing,Self,Self-research_only,CC BY-NC,image_549.jpg,"equipment, floor, green, machine, sewing machine, shop window, spin, tool, wheel"
5865687714276912787_1,"('Bengali', 'India')",ছবিতে কোন ধরনের বাদ্যযন্ত্র দেখানো হয়েছে?,What type of musical instrument is shown in the image?,['ঝিল্লি যন্ত্র' 'বায়ু যন্ত্র' 'বৈদ্যুতিক যন্ত্র' 'তার যন্ত্র'],"['Membrane Instrument' 'Wind Instrument' 'Electric Instrument'
 'String Instrument']",-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Prop._Tabla.jpg/640px-Prop._Tabla.jpg,CC BY-SA 3.0,image_569.jpg,"drum, eye, instrument, tool"
5865925804279486860_2,"('Romanian', 'Romania')",Ce clădire e in imagine?,What building is shown in the image?,['Palatul Babos' 'Biblioteca Centrală' 'Hotelul Central' 'Castelul Bánffy'],['Babos Palace' 'Central Library' 'Central Hotel' 'Bánffy Castle'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_570.jpg,"building, car, city street, cross, drive, person, intersection, man, red, road, spire, street corner, street scene, walk"
5865925804278044600_1,"('Romanian', 'Romania')",Cu ce ocazie se fac obiectele din imagine?,On what occasion are the objects in the picture made?,['Crăciun' 'Paște' 'Ziua Națională' 'Marea Unire'],['Christmas' 'Easter' 'National day' 'Great Union'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_573.jpg,"case, pottery, collection, container, decorate, display, draw, fill, showcase"
5920593844273553189_2,"('Tamil', 'India')",சித்தரிக்கப்பட்டுள்ள நினைவுச்சின்னம் எந்த இந்திய நகரத்தில் அமைந்துள்ளது?,In which Indian city is the monument depicted in the image located?,['கர்னூல்' 'குண்டூர்' 'ஹைதெராபாத்' 'கடப்பா'],['Kurnool' 'Guntur' 'Hyderabad' 'Kadapa'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_576.jpg,"amusement park, wall, building, city, city wall, fort, tower, statue"
5865910674273458190_0,"('Chinese', 'China')",这是什么服装？,What kind of costume is this?,['裙子' '旗袍' '和服' '吉袍'],['Skirt' 'Cheongsam' 'Kimono' 'Auspicious robe'],-1,Objects / materials / clothing,External,https://www.flickr.com/photos/brian0812/8588699887/in/photolist-e5Xkfx-oLhFf9-e5XkTt-e642vU-e63Zwq-6NAuwh-WoZeDj-e5XmfP-e5Xqie-oLh3Z4-Qu1Jwq-p3voKX-e641qU-p1JWLm-p3JQT3-e6429Q-e5Xkov-e63YY3-oLhfWG-Qu1Mhf-e5Xq7e-oLhHgd-e5XkBX-Qu1T6E-e5Xk2K-8sJVQi-RGUKfh-e6448h-RLv7Na-RGUWVG-e643of-e5Xpo8-e641xG-e5XmTT-e5Xn6e-e63Yp1-e5Xjk6-e5XjLR-e5Xn1v-oLgPKP-p3vn3P-e5Xq2H-e5XoM6-Rc11kG-e5XpQZ-Qu1mds-e63ZFU-e643Dd-RwY3LE-e643xb,Attribution-NonCommercial-NoDerivs License,image_587.jpg,"building, catch, pillar, dress, girl, instrument, red, stand, sunshade, umbrella, violin, wear, woman"
5865910674277111099_0,"('Chinese', 'China')",图上是什么标志性建筑物？,What landmark building is on the picture?,['白金汉宫' '莱尼姆宫' '克里姆林宫' '布达拉宫'],['Buckingham Palace' 'Lenim Palace' 'Kremlin' 'Potala Palace'],-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/hagleitn/7284565422/in/photolist-c6Hivy-wKj9XX-wKy3fp-4Zd5iE-P7zQ7z-vN2G7s-3c59wm-vMY7nZ-2kfowb-DjLuo-nHeLGi-np4CKk-7g9jz4-bXTAxA-8vDPKb-aLaaPB-2kfowC-8JMsgS-2894cz4-6LohUc-2EQRDn-aGTqTc-aGTM7v-8vDQ4U-dykpVi-dq3QcZ-dq3R5R-aGTLDi-8GzpaS-a6dUnC-93Akq6-8Gwemx-aGTL3p-8uRwHD-8vDR7G-8Gze9N-8jg4GH-dpZDVR-pNRRA-22jQ75Q-2ksWGDb-N7LJ8Y-MEiwd-2c7fUP-2jnMdSS-Fqkrr-dkd1C-2drW34f-25dAoFF-24khftE,Attribution-NonCommercial License,image_596.jpg,"monastery, building, city, fort, palace, sky, temple, worship"
5879901208654727252_2,"('Bengali', 'India')",হিন্দুস্তানি শাস্ত্রীয় সঙ্গীতের কোন ঘরানায় এই ব্যক্তিত্ব প্রশিক্ষিত?,Which is the gharana of Hindustani classical music that this personality is trained in?,['পাতিয়ালা-কাসুর ঘরানা' 'কিরানা ঘরানা' 'দিল্লি ঘরানা' 'গোয়ালিয়র ঘরানা'],"[' Patiala-Kasur gharana' 'kirana gharana' 'dilli gharana'
 'gwalior gharana']",-1,Public Figure and pop culture,External,https://upload.wikimedia.org/wikipedia/commons/e/e1/Ajoy_Chakrabarty_-_Kolkata_2015-12-4_2128.JPG,GFDL,image_604.jpg,"beard, instrument, man, microphone, stand, wear"
5865910674277649019_0,"('Chinese', 'China')",这是什么服装？,What kind of costume is this?,['旗袍' '朝鲜服' '唐装' '汉服'],['Cheongsam' 'Korean clothing' 'Tangzhuang' 'Hanfu'],-1,Objects / materials / clothing,External,https://www.flickr.com/photos/shannonxia/3435103050/in/photolist-6exNsE-71xe8a-6etaEz-6exKoj-7E7Eei-6exGG5-6ettp6-6etwJF-6eti3g-6exp9N-6eywPd-6etQtV-6faxYL-6f6rae-6ey1Uw-2oWYtHa-naEcnf-naCpFB-naCeqt-naEhuj-naCktP-naCzvX-naChrX-2gjApXH-K2U6eL-KkFJ8M-2jMnXBd-2kfF9BU-2jMnacP-2kfARrv-2kfF9kw-LFLPLH-2kfARMF-2kfAUTq-2kfEEjq-2kfEGvE-JpcyTU-2hdMD6v-2jMmX3d-2hdKWqb-2bjgxg9-2kfF5RT-JSzcJG-2gjAq18-6exnwJ-6exVfA-6exPWy-6etpSD-nroaZ3-nrobyu,Attribution-NonCommercial-NoDerivs License,image_615.jpg,"bamboo forest, doll, dress, path, garment, geisha, girl, green, kimono, pink, robe, stand, traditional, wear, white, woman"
5879865098655328831_0,"('Bengali', 'India')",ছবিতে দেখানো স্থাপত্য ভবন কি?,What is the architectural building shown in the image?,['বেলুর মঠ' 'প্রিন্সেপ ঘাট' 'দক্ষিণেশ্বর মন্দির' 'ভিক্টোরিয়া মেমোরিয়াল'],['Belur Math' 'Princep ghat' 'Dakhineswar Mandir' 'Victoria Memorial'],-1,Geography / buildings / landmarks,External,https://upload.wikimedia.org/wikipedia/commons/0/02/Ramakrishna_Belur_Math%2C_Howrah.jpg,CC BY-SA 3.0,image_617.jpg,"architecture, building, church, dome, mausoleum, palace, stone building, worship"
5865687714278655114_0,"('Bengali', 'India')",ছবিতে দেখানো খাবারটি কি?,What is the food shown in the image?,['কুমড়োর তরকারি' 'এচোড়ের তরকারি' 'আলুর তরকারি' 'ফুলকপির তরকারি'],"['Pumpkin Curry' 'Green Jackfruit Curry' 'Potato Curry'
 'Cauliflower curry']",-1,Cooking and food,Self,Self-open,CC BY-SA,image_631.jpg,"bowl, cube, curry, table, plate, fill, food, meat, potato, stew, tofu, white"
5865910674273582700_2,"('Chinese', 'China')",它与一项现代运动很有渊源，请问是哪个运动？,This sport has a strong connection and relation to a modern sport - what is this model sport?,['篮球' '足球' '高尔夫球' '排球'],['Basketball' 'Football' 'Golf' 'Volleyball'],-1,Sports and recreation,External,https://commons.wikimedia.org/wiki/File:One_Hundred_Children_in_the_Long_Spring.jpg,Public domain,image_642.jpg,"drawing, geisha, person, tree, walk, woman"
5865925794271895454_0,"('Romanian', 'Romania')",În ce oraș este făcută poza?,In which city is the picture taken?,['Constanța' 'București' 'Botoșani' 'Vaslui'],['Constanta' 'Bucharest' 'Botosani' 'Vaslui'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_646.jpg,"blanket, building, gazebo, hay, hut, reed, roof, shelter, straw, tree"
5865925784274942964_1,"('Romanian', 'Romania')",Ce gen a scris personajul din imagine?,What genre did the person in the image write?,['Povești de groază' 'Poezie' 'Povești pentru copii' 'Romane'],['Horror stories' 'Poetry' 'Fairy tales' 'Novels'],-1,Public Figure and pop culture,External,https://upload.wikimedia.org/wikipedia/commons/2/27/Ion_Creanga-Foto03.jpg,Public domain,image_654.jpg,"beard, black, coat, man, photo, portrait, wear, white"
5872177375341924825_1,"('Bengali', 'India')",মাঝখানের প্রতিমা কার সাথে যুক্ত?,Who is the idol in the middle associated with ?,['জগন্নাথ' 'সুভদ্রা' 'নারদ' 'বলরাম'],['Jagannath' 'Subhadra' 'Narad' 'Balaram'],-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/d/d4/Rath_Yatra_in_Munich_2020%2C_the_siblings_Balarama%2C_Subhadra_and_Lord_Jagannath_20200725_160916.jpg,CC BY-SA 4.0,image_657.jpg,"celebration, ceremony, decorate, deity, display, face, festival, mask, temple, worship"
5865910674271950573_1,"('Chinese', 'China')",这座著名的园林有什么美誉？,What is the reputation of this famous garden?,['万园之园' '东南名园之冠' '苏州园林甲江南' '皇家园林博物馆'],"['The Garden of Ten Thousand Gardens'
 'The crown of famous gardens in the southeast'
 'Suzhou Gardens Rank First in Jiangnan' 'Royal Garden Museum']",-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/lj91/5093278292/in/photolist-8L5obY-cbUtcu-cbUtBQ-bUxfcP-FQ79b-cbUtnq-bUxeRr-cbUtDA-cbUtqy-bUxf9p-bUxeGD-cbUtmL-cbUtB5-cbUteq-cbUtrw-cbUtso-bUxeKK-cbUtdQ-cbUtks-cbUtAq-cbUtvS-bUxf7t-cbUtEY-cbUtuw-cbUtFU-bUxeNK-bUxeHM-cbUtGm-cbUtwm-bUxeTT-bUxfot-cbUtgf-bUxf4t-bUxfhk-cbUsYC-bUxeTn-bUxeKk-bUxfiM-cbUt5w-bUxf6B-bUxf2M-cbUths-cbUtxU-bUxeSZ-8ABMAN-8ABMCu-8ABMhE-8AyGGB-8AyGRH-8AyGzB,Attribution-NonCommercial-NoDerivs License,image_666.jpg,"creek, garden, person, lake, park, pond, river, stone, tree, water, waterway"
5865910664276876312_2,"('Chinese', 'China')",这个地区常见的经济形式是什么？,Which is the main economy in this area?,['农业' '建筑业' '制造业' '畜牧业'],['Agriculture' 'Construction industry' 'Manufacturing' 'Animal husbandry'],-1,Geography / buildings / landmarks,Self,Self-research_only,CC BY-NC,image_671.jpg,"creek, flow, grassland, grassy, green, hill, hillside, landscape, lush, mountain, plain, river, stream, tributary, valley, water, waterway"
5865687724276894397_1,"('Bengali', 'India')",এখানে কি খেলা হচ্ছে?,What game is being played here?,['বাস্কেটবল' 'কাবাডি' 'ফুটবল' 'ক্রিকেট'],['Basketball' 'Kabaddi' 'Football' 'Cricket'],-1,Sports and recreation,Self,Self-open,CC BY-SA,image_672.jpg,"child, field, football, football match, football field, football game, game, person, play, stand"
5865910684271872101_0,"('Chinese', 'China')",图片中间是什么乐器？,What musical instrument is in the middle of the picture?,['钢琴' '古筝' '风琴' '琵琶'],['Piano' 'Guzheng' 'Organ' 'Pipa'],-1,Traditions / art / history,External,https://www.flickr.com/photos/tianyake/4539186469/in/photolist-h86RnH-XtDmm7-jmiVWe-jjCScn-8n5DyK-jjBo4c-jjDecu-jmkwh4-8n8Lo5-7V7vZF-7EpkV3-7EpkRw-8muGZS-7Ekum6-7EkugV,Attribution-NonCommercial-NoDerivs License,image_675.jpg,"billiard table, pillar, table, display, floor, mouth organ, instrument, room, stool"
5865910664272956357_1,"('Chinese', 'China')",这件兵器现藏于哪个博物馆？,Which museum is this weapon now in?,['浙江省博物馆' '故宫博物院' '湖北省博物馆' '南京博物馆'],"['Zhejiang Provincial Museum' 'National Palace Museum'
 'Hubei Provincial Museum' 'Nanjing Museum']",-1,Traditions / art / history,External,https://www.flickr.com/photos/liangjinjian/44216056712/in/photolist-2andRco,Attribution-NonCommercial-NoDerivs License,image_706.jpg,"artifact, blade, dagger, display, handle, knife, machete, showcase, sword, tool, weapon, writing"
5865687704275934135_0,"('Bengali', 'India')",ছবিতে চিত্রিত ব্যক্তিটি কে?,Who is the person depicted in the image?,['স্বামী বিবেকানন্দ' 'বাবা লোকনাথ' 'রবীন্দ্রনাথ ঠাকুর' 'রামকৃষ্ণ পরমহংস'],"['Swami Vivekananda' 'Baba Loknath' 'Rabindranath Tagore'
 'Ramkrishna Paramhansa']",-1,Public Figure and pop culture,Self,Self-open,CC BY-SA,image_713.jpg,"ceiling, decorate, flower, wreath, hang, person, man, picture, poppy, portrait, poster, red, woman"
5865925794276659610_0,"('Romanian', 'Romania')",In ce fel de clădire este făcută poza?,In what kind of building is this picture taken?,"['într-un restaurant modern' 'într-un restaurant rustic'
 'într-o casă bătrânească' 'într-un muzeu']","['in a modern restaurant' 'in a rustic restaurant' 'in an old house'
 'in a museum']",-1,People and everyday life,Self,Self-open,CC BY-SA,image_718.jpg,"bed, bedcover, bedroom, bedding, blanket, canopy, carpet, curtain, pad, floor, pillow, quilt, red, room, stool, stove"
